ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-29 14:39:47 UTC,kraken,SOL/USD,210.99,75.5832,SELL,5m
2025-09-29 14:39:49 UTC,kraken,DOGE/USD,0.2363975,80.9391,SELL,5m
2025-09-29 14:39:51 UTC,kraken,SHIB/USD,1.197e-05,68.1618,SELL,5m
2025-09-29 14:39:53 UTC,kraken,AVAX/USD,30.0,60.7854,HOLD,5m
2025-09-29 14:39:56 UTC,kraken,ATOM/USD,4.104,62.2205,HOLD,5m
2025-09-30 13:48:31 UTC,kraken,SOL/USD,209.26,70.2338,SELL,5m
2025-09-30 13:48:33 UTC,kraken,DOGE/USD,0.2309639,65.4814,SELL,5m
2025-09-30 13:48:35 UTC,kraken,SHIB/USD,1.178e-05,62.0290,HOLD,5m
2025-09-30 13:48:37 UTC,kraken,AVAX/USD,29.41,56.0515,HOLD,5m
2025-09-30 13:48:39 UTC,kraken,ATOM/USD,4.0582,56.4270,HOLD,5m
2025-09-30 13:48:41 UTC,kraken,PRO/USD,0.7652,31.8054,BUY,5m
2025-09-30 13:48:44 UTC,kraken,WLFI/USD,0.1982,50.4817,HOLD,5m
2025-09-30 13:48:46 UTC,kraken,KIN/USD,1.171e-06,99.9954,SELL,5m
2025-09-30 13:48:48 UTC,kraken,CRO/USD,0.1974,67.9856,SELL,5m
2025-09-30 13:48:50 UTC,kraken,ZORA/USD,0.049936,34.1104,BUY,5m
2025-09-30 14:16:47 UTC,kraken,SOL/USD,207.32,50.2011,HOLD,5m
2025-09-30 14:16:49 UTC,kraken,AVAX/USD,29.18,43.1916,HOLD,5m
2025-09-30 14:16:51 UTC,kraken,NEAR/USD,2.612,36.1707,HOLD,5m
2025-09-30 14:16:53 UTC,kraken,DOGE/USD,0.2290437,43.9628,HOLD,5m
2025-09-30 14:16:56 UTC,kraken,WIF/USD,0.7028,40.7601,HOLD,5m
2025-09-30 14:25:11 UTC,kraken,SOL/USD,206.79,45.6139,HOLD,5m
2025-09-30 14:25:13 UTC,kraken,DOGE/USD,0.2286296,39.7192,HOLD,5m
2025-09-30 14:25:15 UTC,kraken,SHIB/USD,1.169e-05,42.4733,HOLD,5m
2025-09-30 14:25:18 UTC,kraken,AVAX/USD,29.14,41.2622,HOLD,5m
2025-09-30 14:25:20 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:26:34 UTC,kraken,SOL/USD,206.58,43.9398,HOLD,5m
2025-09-30 14:26:36 UTC,kraken,DOGE/USD,0.2280248,34.7926,BUY,5m
2025-09-30 14:26:38 UTC,kraken,SHIB/USD,1.169e-05,42.4733,HOLD,5m
2025-09-30 14:26:40 UTC,kraken,AVAX/USD,29.13,40.7145,HOLD,5m
2025-09-30 14:26:42 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:27:14 UTC,kraken,SOL/USD,206.32,42.0300,HOLD,5m
2025-09-30 14:27:16 UTC,kraken,DOGE/USD,0.2281097,35.4091,HOLD,5m
2025-09-30 14:27:18 UTC,kraken,SHIB/USD,1.167e-05,38.8537,HOLD,5m
2025-09-30 14:27:20 UTC,kraken,AVAX/USD,29.13,40.7145,HOLD,5m
2025-09-30 14:27:22 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:27:53 UTC,kraken,SOL/USD,206.62,44.2491,HOLD,5m
2025-09-30 14:27:56 UTC,kraken,DOGE/USD,0.2281485,34.9661,BUY,5m
2025-09-30 14:27:58 UTC,kraken,SHIB/USD,1.169e-05,42.4733,HOLD,5m
2025-09-30 14:28:00 UTC,kraken,AVAX/USD,29.14,41.2622,HOLD,5m
2025-09-30 14:28:02 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:33:52 UTC,kraken,SOL/USD,206.95,47.3286,HOLD,5m
2025-09-30 14:33:54 UTC,kraken,DOGE/USD,0.2282023,36.0648,HOLD,5m
2025-09-30 14:33:57 UTC,kraken,SHIB/USD,1.169e-05,43.9937,HOLD,5m
2025-09-30 14:33:59 UTC,kraken,AVAX/USD,29.17,43.7086,HOLD,5m
2025-09-30 14:34:01 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:34:32 UTC,kraken,SOL/USD,206.77,45.4967,HOLD,5m
2025-09-30 14:34:34 UTC,kraken,DOGE/USD,0.2277572,32.7297,BUY,5m
2025-09-30 14:34:37 UTC,kraken,SHIB/USD,1.169e-05,43.9937,HOLD,5m
2025-09-30 14:34:39 UTC,kraken,AVAX/USD,29.14,41.2622,HOLD,5m
2025-09-30 14:34:41 UTC,kraken,ATOM/USD,4.0412,47.6168,HOLD,5m
2025-09-30 14:39:22 UTC,kraken,SOL/USD,207.07,46.7483,HOLD,5m
2025-09-30 14:39:24 UTC,kraken,DOGE/USD,0.2279223,33.8610,BUY,5m
2025-09-30 14:39:27 UTC,kraken,SHIB/USD,1.169e-05,43.9937,HOLD,5m
2025-09-30 14:39:29 UTC,kraken,AVAX/USD,29.2,46.2898,HOLD,5m
2025-09-30 14:39:31 UTC,kraken,ATOM/USD,4.0222,35.6675,HOLD,5m
2025-09-30 14:40:02 UTC,kraken,SOL/USD,206.89,46.7483,HOLD,5m
2025-09-30 14:40:04 UTC,kraken,DOGE/USD,0.227795,32.8918,BUY,5m
2025-09-30 14:40:07 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:40:09 UTC,kraken,AVAX/USD,29.16,43.0394,HOLD,5m
2025-09-30 14:40:11 UTC,kraken,ATOM/USD,4.0222,35.6676,HOLD,5m
2025-09-30 14:40:42 UTC,kraken,SOL/USD,206.99,47.8766,HOLD,5m
2025-09-30 14:40:44 UTC,kraken,DOGE/USD,0.2279298,35.0131,HOLD,5m
2025-09-30 14:40:47 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:40:49 UTC,kraken,AVAX/USD,29.16,43.0394,HOLD,5m
2025-09-30 14:40:51 UTC,kraken,ATOM/USD,4.0222,35.6676,HOLD,5m
2025-09-30 14:41:22 UTC,kraken,SOL/USD,207.29,50.9918,HOLD,5m
2025-09-30 14:41:24 UTC,kraken,DOGE/USD,0.2283467,40.8006,HOLD,5m
2025-09-30 14:41:27 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:41:29 UTC,kraken,AVAX/USD,29.19,45.6938,HOLD,5m
2025-09-30 14:41:31 UTC,kraken,ATOM/USD,4.0227,36.1218,HOLD,5m
2025-09-30 14:42:02 UTC,kraken,SOL/USD,207.41,52.1360,HOLD,5m
2025-09-30 14:42:04 UTC,kraken,DOGE/USD,0.2283467,40.8006,HOLD,5m
2025-09-30 14:42:06 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:42:09 UTC,kraken,AVAX/USD,29.19,45.6938,HOLD,5m
2025-09-30 14:42:11 UTC,kraken,ATOM/USD,4.0227,36.1218,HOLD,5m
2025-09-30 14:42:42 UTC,kraken,SOL/USD,207.49,52.8696,HOLD,5m
2025-09-30 14:42:44 UTC,kraken,DOGE/USD,0.2283467,40.8006,HOLD,5m
2025-09-30 14:42:46 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:42:49 UTC,kraken,AVAX/USD,29.19,45.6938,HOLD,5m
2025-09-30 14:42:51 UTC,kraken,ATOM/USD,4.0258,38.8013,HOLD,5m
2025-09-30 14:43:25 UTC,kraken,SOL/USD,207.38,51.8550,HOLD,5m
2025-09-30 14:43:28 UTC,kraken,DOGE/USD,0.2284356,41.9039,HOLD,5m
2025-09-30 14:43:30 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:43:32 UTC,kraken,AVAX/USD,29.19,45.6938,HOLD,5m
2025-09-30 14:43:34 UTC,kraken,ATOM/USD,4.0258,38.8013,HOLD,5m
2025-09-30 14:44:38 UTC,kraken,SOL/USD,207.26,50.6971,HOLD,5m
2025-09-30 14:44:41 UTC,kraken,DOGE/USD,0.2283853,41.2847,HOLD,5m
2025-09-30 14:44:43 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:44:45 UTC,kraken,AVAX/USD,29.21,47.3301,HOLD,5m
2025-09-30 14:44:47 UTC,kraken,ATOM/USD,4.0239,37.1864,HOLD,5m
2025-09-30 14:45:18 UTC,kraken,SOL/USD,207.21,50.6866,HOLD,5m
2025-09-30 14:45:21 UTC,kraken,DOGE/USD,0.2283853,41.2851,HOLD,5m
2025-09-30 14:45:23 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:45:25 UTC,kraken,AVAX/USD,29.2,46.5745,HOLD,5m
2025-09-30 14:45:27 UTC,kraken,ATOM/USD,4.0239,37.1864,HOLD,5m
2025-09-30 14:45:58 UTC,kraken,SOL/USD,207.21,50.1476,HOLD,5m
2025-09-30 14:46:01 UTC,kraken,DOGE/USD,0.2283853,41.2851,HOLD,5m
2025-09-30 14:46:03 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:46:05 UTC,kraken,AVAX/USD,29.2,46.5745,HOLD,5m
2025-09-30 14:46:07 UTC,kraken,ATOM/USD,4.0239,37.1864,HOLD,5m
2025-09-30 14:46:39 UTC,kraken,SOL/USD,207.41,52.2361,HOLD,5m
2025-09-30 14:46:41 UTC,kraken,DOGE/USD,0.2283853,41.2851,HOLD,5m
2025-09-30 14:46:43 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:46:45 UTC,kraken,AVAX/USD,29.2,46.5745,HOLD,5m
2025-09-30 14:46:48 UTC,kraken,ATOM/USD,4.0239,37.1864,HOLD,5m
2025-09-30 14:47:19 UTC,kraken,SOL/USD,207.31,51.2161,HOLD,5m
