scenario_id,origin,destination,value_usd,is_hazmat,is_temp_control,expected_transit_days,iot_alert_count,recent_delay_events,lane_risk_index,border_crossing_count,carrier_incident_rate_90d,carrier_tenure_days,risk_score,risk_band
1,US,US,10000,False,False,4,0,0,0.1,0,0.0,400,0,LOW
2,US,US,10000,False,False,4,0,0,0.1,0,0.08,400,26,LOW
3,US,MX,10000,False,False,4,0,0,0.1,1,0.0,400,1,LOW
4,US,MX,10000,False,False,4,0,0,0.1,1,0.08,400,31,LOW
5,US,US,10000,False,False,4,0,0,0.8,0,0.0,400,38,LOW
6,US,US,10000,False,False,4,0,0,0.8,0,0.08,400,68,MEDIUM
7,US,MX,10000,False,False,4,0,0,0.8,1,0.0,400,43,MEDIUM
8,US,MX,10000,False,False,4,0,0,0.8,1,0.08,400,73,HIGH
9,US,US,10000,False,False,4,0,2,0.1,0,0.0,400,6,LOW
10,US,US,10000,False,False,4,0,2,0.1,0,0.08,400,36,LOW
11,US,MX,10000,False,False,4,0,2,0.1,1,0.0,400,11,LOW
12,US,MX,10000,False,False,4,0,2,0.1,1,0.08,400,41,MEDIUM
13,US,US,10000,False,False,4,0,2,0.8,0,0.0,400,48,MEDIUM
14,US,US,10000,False,False,4,0,2,0.8,0,0.08,400,78,HIGH
15,US,MX,10000,False,False,4,0,2,0.8,1,0.0,400,53,MEDIUM
16,US,MX,10000,False,False,4,0,2,0.8,1,0.08,400,83,HIGH
17,US,US,10000,False,False,4,2,0,0.1,0,0.0,400,16,LOW
18,US,US,10000,False,False,4,2,0,0.1,0,0.08,400,46,MEDIUM
19,US,MX,10000,False,False,4,2,0,0.1,1,0.0,400,21,LOW
20,US,MX,10000,False,False,4,2,0,0.1,1,0.08,400,51,MEDIUM
21,US,US,10000,False,False,4,2,0,0.8,0,0.0,400,58,MEDIUM
22,US,US,10000,False,False,4,2,0,0.8,0,0.08,400,88,HIGH
23,US,MX,10000,False,False,4,2,0,0.8,1,0.0,400,63,MEDIUM
24,US,MX,10000,False,False,4,2,0,0.8,1,0.08,400,93,HIGH
25,US,US,10000,False,False,4,2,2,0.1,0,0.0,400,26,LOW
26,US,US,10000,False,False,4,2,2,0.1,0,0.08,400,56,MEDIUM
27,US,MX,10000,False,False,4,2,2,0.1,1,0.0,400,31,LOW
28,US,MX,10000,False,False,4,2,2,0.1,1,0.08,400,61,MEDIUM
29,US,US,10000,False,False,4,2,2,0.8,0,0.0,400,68,MEDIUM
30,US,US,10000,False,False,4,2,2,0.8,0,0.08,400,98,HIGH
31,US,MX,10000,False,False,4,2,2,0.8,1,0.0,400,73,HIGH
32,US,MX,10000,False,False,4,2,2,0.8,1,0.08,400,100,HIGH
33,US,US,10000,True,False,4,0,0,0.1,0,0.0,400,6,LOW
34,US,US,10000,True,False,4,0,0,0.1,0,0.08,400,36,LOW
35,US,MX,10000,True,False,4,0,0,0.1,1,0.0,400,11,LOW
36,US,MX,10000,True,False,4,0,0,0.1,1,0.08,400,41,MEDIUM
37,US,US,10000,True,False,4,0,0,0.8,0,0.0,400,48,MEDIUM
38,US,US,10000,True,False,4,0,0,0.8,0,0.08,400,78,HIGH
39,US,MX,10000,True,False,4,0,0,0.8,1,0.0,400,53,MEDIUM
40,US,MX,10000,True,False,4,0,0,0.8,1,0.08,400,83,HIGH
41,US,US,10000,True,False,4,0,2,0.1,0,0.0,400,16,LOW
42,US,US,10000,True,False,4,0,2,0.1,0,0.08,400,46,MEDIUM
43,US,MX,10000,True,False,4,0,2,0.1,1,0.0,400,21,LOW
44,US,MX,10000,True,False,4,0,2,0.1,1,0.08,400,51,MEDIUM
45,US,US,10000,True,False,4,0,2,0.8,0,0.0,400,58,MEDIUM
46,US,US,10000,True,False,4,0,2,0.8,0,0.08,400,88,HIGH
47,US,MX,10000,True,False,4,0,2,0.8,1,0.0,400,63,MEDIUM
48,US,MX,10000,True,False,4,0,2,0.8,1,0.08,400,93,HIGH
49,US,US,10000,True,False,4,2,0,0.1,0,0.0,400,26,LOW
50,US,US,10000,True,False,4,2,0,0.1,0,0.08,400,56,MEDIUM
51,US,MX,10000,True,False,4,2,0,0.1,1,0.0,400,31,LOW
52,US,MX,10000,True,False,4,2,0,0.1,1,0.08,400,61,MEDIUM
53,US,US,10000,True,False,4,2,0,0.8,0,0.0,400,68,MEDIUM
54,US,US,10000,True,False,4,2,0,0.8,0,0.08,400,98,HIGH
55,US,MX,10000,True,False,4,2,0,0.8,1,0.0,400,73,HIGH
56,US,MX,10000,True,False,4,2,0,0.8,1,0.08,400,100,HIGH
57,US,US,10000,True,False,4,2,2,0.1,0,0.0,400,36,LOW
58,US,US,10000,True,False,4,2,2,0.1,0,0.08,400,66,MEDIUM
59,US,MX,10000,True,False,4,2,2,0.1,1,0.0,400,41,MEDIUM
60,US,MX,10000,True,False,4,2,2,0.1,1,0.08,400,71,HIGH
61,US,US,10000,True,False,4,2,2,0.8,0,0.0,400,78,HIGH
62,US,US,10000,True,False,4,2,2,0.8,0,0.08,400,100,HIGH
63,US,MX,10000,True,False,4,2,2,0.8,1,0.0,400,83,HIGH
64,US,MX,10000,True,False,4,2,2,0.8,1,0.08,400,100,HIGH
65,US,US,150000,False,False,4,0,0,0.1,0,0.0,400,11,LOW
66,US,US,150000,False,False,4,0,0,0.1,0,0.08,400,41,MEDIUM
67,US,MX,150000,False,False,4,0,0,0.1,1,0.0,400,16,LOW
