scenario_id,origin,destination,value_usd,is_hazmat,is_temp_control,expected_transit_days,iot_alert_count,recent_delay_events,lane_risk_index,border_crossing_count,carrier_incident_rate_90d,carrier_tenure_days,risk_score,risk_band
1,US,US,10000,False,False,2,0,0,0.1,0,0.0,90,6,LOW
2,US,US,10000,False,False,2,0,0,0.1,0,0.0,400,0,LOW
3,US,US,10000,False,False,2,0,0,0.1,0,0.0,1200,0,LOW
4,US,US,10000,False,False,2,0,0,0.1,0,0.02,90,6,LOW
5,US,US,10000,False,False,2,0,0,0.1,0,0.02,400,6,LOW
6,US,US,10000,False,False,2,0,0,0.1,0,0.02,1200,6,LOW
7,US,US,10000,False,False,2,0,0,0.1,0,0.08,90,26,LOW
8,US,US,10000,False,False,2,0,0,0.1,0,0.08,400,26,LOW
9,US,US,10000,False,False,2,0,0,0.1,0,0.08,1200,26,LOW
10,US,MX,10000,False,False,2,0,0,0.1,1,0.0,90,11,LOW
11,US,MX,10000,False,False,2,0,0,0.1,1,0.0,400,1,LOW
12,US,MX,10000,False,False,2,0,0,0.1,1,0.0,1200,1,LOW
13,US,MX,10000,False,False,2,0,0,0.1,1,0.02,90,11,LOW
14,US,MX,10000,False,False,2,0,0,0.1,1,0.02,400,11,LOW
15,US,MX,10000,False,False,2,0,0,0.1,1,0.02,1200,11,LOW
16,US,MX,10000,False,False,2,0,0,0.1,1,0.08,90,31,LOW
17,US,MX,10000,False,False,2,0,0,0.1,1,0.08,400,31,LOW
18,US,MX,10000,False,False,2,0,0,0.1,1,0.08,1200,31,LOW
19,US,MX,10000,False,False,2,0,0,0.1,2,0.0,90,16,LOW
20,US,MX,10000,False,False,2,0,0,0.1,2,0.0,400,6,LOW
21,US,MX,10000,False,False,2,0,0,0.1,2,0.0,1200,6,LOW
22,US,MX,10000,False,False,2,0,0,0.1,2,0.02,90,16,LOW
23,US,MX,10000,False,False,2,0,0,0.1,2,0.02,400,16,LOW
24,US,MX,10000,False,False,2,0,0,0.1,2,0.02,1200,16,LOW
25,US,MX,10000,False,False,2,0,0,0.1,2,0.08,90,36,LOW
26,US,MX,10000,False,False,2,0,0,0.1,2,0.08,400,36,LOW
27,US,MX,10000,False,False,2,0,0,0.1,2,0.08,1200,36,LOW
28,US,US,10000,False,False,2,0,0,0.4,0,0.0,90,24,LOW
29,US,US,10000,False,False,2,0,0,0.4,0,0.0,400,14,LOW
30,US,US,10000,False,False,2,0,0,0.4,0,0.0,1200,14,LOW
31,US,US,10000,False,False,2,0,0,0.4,0,0.02,90,24,LOW
32,US,US,10000,False,False,2,0,0,0.4,0,0.02,400,24,LOW
33,US,US,10000,False,False,2,0,0,0.4,0,0.02,1200,24,LOW
34,US,US,10000,False,False,2,0,0,0.4,0,0.08,90,44,MEDIUM
35,US,US,10000,False,False,2,0,0,0.4,0,0.08,400,44,MEDIUM
36,US,US,10000,False,False,2,0,0,0.4,0,0.08,1200,44,MEDIUM
37,US,MX,10000,False,False,2,0,0,0.4,1,0.0,90,29,LOW
38,US,MX,10000,False,False,2,0,0,0.4,1,0.0,400,19,LOW
39,US,MX,10000,False,False,2,0,0,0.4,1,0.0,1200,19,LOW
40,US,MX,10000,False,False,2,0,0,0.4,1,0.02,90,29,LOW
41,US,MX,10000,False,False,2,0,0,0.4,1,0.02,400,29,LOW
42,US,MX,10000,False,False,2,0,0,0.4,1,0.02,1200,29,LOW
43,US,MX,10000,False,False,2,0,0,0.4,1,0.08,90,49,MEDIUM
44,US,MX,10000,False,False,2,0,0,0.4,1,0.08,400,49,MEDIUM
45,US,MX,10000,False,False,2,0,0,0.4,1,0.08,1200,49,MEDIUM
46,US,MX,10000,False,False,2,0,0,0.4,2,0.0,90,34,LOW
47,US,MX,10000,False,False,2,0,0,0.4,2,0.0,400,24,LOW
48,US,MX,10000,False,False,2,0,0,0.4,2,0.0,1200,24,LOW
49,US,MX,10000,False,False,2,0,0,0.4,2,0.02,90,34,LOW
50,US,MX,10000,False,False,2,0,0,0.4,2,0.02,400,34,LOW
51,US,MX,10000,False,False,2,0,0,0.4,2,0.02,1200,34,LOW
52,US,MX,10000,False,False,2,0,0,0.4,2,0.08,90,54,MEDIUM
53,US,MX,10000,False,False,2,0,0,0.4,2,0.08,400,54,MEDIUM
54,US,MX,10000,False,False,2,0,0,0.4,2,0.08,1200,54,MEDIUM
55,US,US,10000,False,False,2,0,0,0.8,0,0.0,90,48,MEDIUM
56,US,US,10000,False,False,2,0,0,0.8,0,0.0,400,38,LOW
57,US,US,10000,False,False,2,0,0,0.8,0,0.0,1200,38,LOW
58,US,US,10000,False,False,2,0,0,0.8,0,0.02,90,48,MEDIUM
59,US,US,10000,False,False,2,0,0,0.8,0,0.02,400,48,MEDIUM
60,US,US,10000,False,False,2,0,0,0.8,0,0.02,1200,48,MEDIUM
61,US,US,10000,False,False,2,0,0,0.8,0,0.08,90,68,MEDIUM
62,US,US,10000,False,False,2,0,0,0.8,0,0.08,400,68,MEDIUM
63,US,US,10000,False,False,2,0,0,0.8,0,0.08,1200,68,MEDIUM
64,US,MX,10000,False,False,2,0,0,0.8,1,0.0,90,53,MEDIUM
65,US,MX,10000,False,False,2,0,0,0.8,1,0.0,400,43,MEDIUM
66,US,MX,10000,False,False,2,0,0,0.8,1,0.0,1200,43,MEDIUM
67,US,MX,10000,False,False,2,0,0,0.8,1,0.02,90,53,MEDIUM
68,US,MX,10000,False,False,2,0,0,0.8,1,0.02,400,53,MEDIUM
69,US,MX,10000,False,False,2,0,0,0.8,1,0.02,1200,53,MEDIUM
70,US,MX,10000,False,False,2,0,0,0.8,1,0.08,90,73,HIGH
71,US,MX,10000,False,False,2,0,0,0.8,1,0.08,400,73,HIGH
72,US,MX,10000,False,False,2,0,0,0.8,1,0.08,1200,73,HIGH
73,US,MX,10000,False,False,2,0,0,0.8,2,0.0,90,58,MEDIUM
74,US,MX,10000,False,False,2,0,0,0.8,2,0.0,400,48,MEDIUM
75,US,MX,10000,False,False,2,0,0,0.8,2,0.0,1200,48,MEDIUM
76,US,MX,10000,False,False,2,0,0,0.8,2,0.02,90,58,MEDIUM
77,US,MX,10000,False,False,2,0,0,0.8,2,0.02,400,58,MEDIUM
78,US,MX,10000,False,False,2,0,0,0.8,2,0.02,1200,58,MEDIUM
79,US,MX,10000,False,False,2,0,0,0.8,2,0.08,90,78,HIGH
80,US,MX,10000,False,False,2,0,0,0.8,2,0.08,400,78,HIGH
81,US,MX,10000,False,False,2,0,0,0.8,2,0.08,1200,78,HIGH
82,US,US,10000,False,False,2,0,1,0.1,0,0.0,90,11,LOW
83,US,US,10000,False,False,2,0,1,0.1,0,0.0,400,1,LOW
84,US,US,10000,False,False,2,0,1,0.1,0,0.0,1200,1,LOW
85,US,US,10000,False,False,2,0,1,0.1,0,0.02,90,11,LOW
86,US,US,10000,False,False,2,0,1,0.1,0,0.02,400,11,LOW
87,US,US,10000,False,False,2,0,1,0.1,0,0.02,1200,11,LOW
88,US,US,10000,False,False,2,0,1,0.1,0,0.08,90,31,LOW
89,US,US,10000,False,False,2,0,1,0.1,0,0.08,400,31,LOW
90,US,US,10000,False,False,2,0,1,0.1,0,0.08,1200,31,LOW
91,US,MX,10000,False,False,2,0,1,0.1,1,0.0,90,16,LOW
92,US,MX,10000,False,False,2,0,1,0.1,1,0.0,400,6,LOW
93,US,MX,10000,False,False,2,0,1,0.1,1,0.0,1200,6,LOW
94,US,MX,10000,False,False,2,0,1,0.1,1,0.02,90,16,LOW
95,US,MX,10000,False,False,2,0,1,0.1,1,0.02,400,16,LOW
96,US,MX,10000,False,False,2,0,1,0.1,1,0.02,1200,16,LOW
97,US,MX,10000,False,False,2,0,1,0.1,1,0.08,90,36,LOW
98,US,MX,10000,False,False,2,0,1,0.1,1,0.08,400,36,LOW
99,US,MX,10000,False,False,2,0,1,0.1,1,0.08,1200,36,LOW
100,US,MX,10000,False,False,2,0,1,0.1,2,0.0,90,21,LOW
101,US,MX,10000,False,False,2,0,1,0.1,2,0.0,400,11,LOW
102,US,MX,10000,False,False,2,0,1,0.1,2,0.0,1200,11,LOW
103,US,MX,10000,False,False,2,0,1,0.1,2,0.02,90,21,LOW
104,US,MX,10000,False,False,2,0,1,0.1,2,0.02,400,21,LOW
105,US,MX,10000,False,False,2,0,1,0.1,2,0.02,1200,21,LOW
106,US,MX,10000,False,False,2,0,1,0.1,2,0.08,90,41,MEDIUM
107,US,MX,10000,False,False,2,0,1,0.1,2,0.08,400,41,MEDIUM
108,US,MX,10000,False,False,2,0,1,0.1,2,0.08,1200,41,MEDIUM
109,US,US,10000,False,False,2,0,1,0.4,0,0.0,90,29,LOW
110,US,US,10000,False,False,2,0,1,0.4,0,0.0,400,19,LOW
111,US,US,10000,False,False,2,0,1,0.4,0,0.0,1200,19,LOW
112,US,US,10000,False,False,2,0,1,0.4,0,0.02,90,29,LOW
113,US,US,10000,False,False,2,0,1,0.4,0,0.02,400,29,LOW
114,US,US,10000,False,False,2,0,1,0.4,0,0.02,1200,29,LOW
115,US,US,10000,False,False,2,0,1,0.4,0,0.08,90,49,MEDIUM
116,US,US,10000,False,False,2,0,1,0.4,0,0.08,400,49,MEDIUM
117,US,US,10000,False,False,2,0,1,0.4,0,0.08,1200,49,MEDIUM
118,US,MX,10000,False,False,2,0,1,0.4,1,0.0,90,34,LOW
119,US,MX,10000,False,False,2,0,1,0.4,1,0.0,400,24,LOW
120,US,MX,10000,False,False,2,0,1,0.4,1,0.0,1200,24,LOW
121,US,MX,10000,False,False,2,0,1,0.4,1,0.02,90,34,LOW
122,US,MX,10000,False,False,2,0,1,0.4,1,0.02,400,34,LOW
123,US,MX,10000,False,False,2,0,1,0.4,1,0.02,1200,34,LOW
124,US,MX,10000,False,False,2,0,1,0.4,1,0.08,90,54,MEDIUM
125,US,MX,10000,False,False,2,0,1,0.4,1,0.08,400,54,MEDIUM
126,US,MX,10000,False,False,2,0,1,0.4,1,0.08,1200,54,MEDIUM
127,US,MX,10000,False,False,2,0,1,0.4,2,0.0,90,39,LOW
128,US,MX,10000,False,False,2,0,1,0.4,2,0.0,400,29,LOW
129,US,MX,10000,False,False,2,0,1,0.4,2,0.0,1200,29,LOW
130,US,MX,10000,False,False,2,0,1,0.4,2,0.02,90,39,LOW
131,US,MX,10000,False,False,2,0,1,0.4,2,0.02,400,39,LOW
132,US,MX,10000,False,False,2,0,1,0.4,2,0.02,1200,39,LOW
133,US,MX,10000,False,False,2,0,1,0.4,2,0.08,90,59,MEDIUM
134,US,MX,10000,False,False,2,0,1,0.4,2,0.08,400,59,MEDIUM
135,US,MX,10000,False,False,2,0,1,0.4,2,0.08,1200,59,MEDIUM
136,US,US,10000,False,False,2,0,1,0.8,0,0.0,90,53,MEDIUM
137,US,US,10000,False,False,2,0,1,0.8,0,0.0,400,43,MEDIUM
138,US,US,10000,False,False,2,0,1,0.8,0,0.0,1200,43,MEDIUM
139,US,US,10000,False,False,2,0,1,0.8,0,0.02,90,53,MEDIUM
140,US,US,10000,False,False,2,0,1,0.8,0,0.02,400,53,MEDIUM
141,US,US,10000,False,False,2,0,1,0.8,0,0.02,1200,53,MEDIUM
142,US,US,10000,False,False,2,0,1,0.8,0,0.08,90,73,HIGH
143,US,US,10000,False,False,2,0,1,0.8,0,0.08,400,73,HIGH
144,US,US,10000,False,False,2,0,1,0.8,0,0.08,1200,73,HIGH
145,US,MX,10000,False,False,2,0,1,0.8,1,0.0,90,58,MEDIUM
146,US,MX,10000,False,False,2,0,1,0.8,1,0.0,400,48,MEDIUM
147,US,MX,10000,False,False,2,0,1,0.8,1,0.0,1200,48,MEDIUM
148,US,MX,10000,False,False,2,0,1,0.8,1,0.02,90,58,MEDIUM
149,US,MX,10000,False,False,2,0,1,0.8,1,0.02,400,58,MEDIUM
150,US,MX,10000,False,False,2,0,1,0.8,1,0.02,1200,58,MEDIUM
151,US,MX,10000,False,False,2,0,1,0.8,1,0.08,90,78,HIGH
152,US,MX,10000,False,False,2,0,1,0.8,1,0.08,400,78,HIGH
153,US,MX,10000,False,False,2,0,1,0.8,1,0.08,1200,78,HIGH
154,US,MX,10000,False,False,2,0,1,0.8,2,0.0,90,63,MEDIUM
155,US,MX,10000,False,False,2,0,1,0.8,2,0.0,400,53,MEDIUM
156,US,MX,10000,False,False,2,0,1,0.8,2,0.0,1200,53,MEDIUM
157,US,MX,10000,False,False,2,0,1,0.8,2,0.02,90,63,MEDIUM
158,US,MX,10000,False,False,2,0,1,0.8,2,0.02,400,63,MEDIUM
159,US,MX,10000,False,False,2,0,1,0.8,2,0.02,1200,63,MEDIUM
160,US,MX,10000,False,False,2,0,1,0.8,2,0.08,90,83,HIGH
161,US,MX,10000,False,False,2,0,1,0.8,2,0.08,400,83,HIGH
162,US,MX,10000,False,False,2,0,1,0.8,2,0.08,1200,83,HIGH
163,US,US,10000,False,False,2,0,3,0.1,0,0.0,90,21,LOW
164,US,US,10000,False,False,2,0,3,0.1,0,0.0,400,11,LOW
165,US,US,10000,False,False,2,0,3,0.1,0,0.0,1200,11,LOW
166,US,US,10000,False,False,2,0,3,0.1,0,0.02,90,21,LOW
167,US,US,10000,False,False,2,0,3,0.1,0,0.02,400,21,LOW
168,US,US,10000,False,False,2,0,3,0.1,0,0.02,1200,21,LOW
169,US,US,10000,False,False,2,0,3,0.1,0,0.08,90,41,MEDIUM
170,US,US,10000,False,False,2,0,3,0.1,0,0.08,400,41,MEDIUM
171,US,US,10000,False,False,2,0,3,0.1,0,0.08,1200,41,MEDIUM
172,US,MX,10000,False,False,2,0,3,0.1,1,0.0,90,26,LOW
173,US,MX,10000,False,False,2,0,3,0.1,1,0.0,400,16,LOW
174,US,MX,10000,False,False,2,0,3,0.1,1,0.0,1200,16,LOW
175,US,MX,10000,False,False,2,0,3,0.1,1,0.02,90,26,LOW
176,US,MX,10000,False,False,2,0,3,0.1,1,0.02,400,26,LOW
177,US,MX,10000,False,False,2,0,3,0.1,1,0.02,1200,26,LOW
178,US,MX,10000,False,False,2,0,3,0.1,1,0.08,90,46,MEDIUM
179,US,MX,10000,False,False,2,0,3,0.1,1,0.08,400,46,MEDIUM
180,US,MX,10000,False,False,2,0,3,0.1,1,0.08,1200,46,MEDIUM
181,US,MX,10000,False,False,2,0,3,0.1,2,0.0,90,31,LOW
182,US,MX,10000,False,False,2,0,3,0.1,2,0.0,400,21,LOW
183,US,MX,10000,False,False,2,0,3,0.1,2,0.0,1200,21,LOW
184,US,MX,10000,False,False,2,0,3,0.1,2,0.02,90,31,LOW
185,US,MX,10000,False,False,2,0,3,0.1,2,0.02,400,31,LOW
186,US,MX,10000,False,False,2,0,3,0.1,2,0.02,1200,31,LOW
187,US,MX,10000,False,False,2,0,3,0.1,2,0.08,90,51,MEDIUM
188,US,MX,10000,False,False,2,0,3,0.1,2,0.08,400,51,MEDIUM
189,US,MX,10000,False,False,2,0,3,0.1,2,0.08,1200,51,MEDIUM
190,US,US,10000,False,False,2,0,3,0.4,0,0.0,90,39,LOW
191,US,US,10000,False,False,2,0,3,0.4,0,0.0,400,29,LOW
192,US,US,10000,False,False,2,0,3,0.4,0,0.0,1200,29,LOW
193,US,US,10000,False,False,2,0,3,0.4,0,0.02,90,39,LOW
194,US,US,10000,False,False,2,0,3,0.4,0,0.02,400,39,LOW
195,US,US,10000,False,False,2,0,3,0.4,0,0.02,1200,39,LOW
196,US,US,10000,False,False,2,0,3,0.4,0,0.08,90,59,MEDIUM
197,US,US,10000,False,False,2,0,3,0.4,0,0.08,400,59,MEDIUM
198,US,US,10000,False,False,2,0,3,0.4,0,0.08,1200,59,MEDIUM
199,US,MX,10000,False,False,2,0,3,0.4,1,0.0,90,44,MEDIUM
200,US,MX,10000,False,False,2,0,3,0.4,1,0.0,400,34,LOW
201,US,MX,10000,False,False,2,0,3,0.4,1,0.0,1200,34,LOW
202,US,MX,10000,False,False,2,0,3,0.4,1,0.02,90,44,MEDIUM
203,US,MX,10000,False,False,2,0,3,0.4,1,0.02,400,44,MEDIUM
204,US,MX,10000,False,False,2,0,3,0.4,1,0.02,1200,44,MEDIUM
205,US,MX,10000,False,False,2,0,3,0.4,1,0.08,90,64,MEDIUM
206,US,MX,10000,False,False,2,0,3,0.4,1,0.08,400,64,MEDIUM
207,US,MX,10000,False,False,2,0,3,0.4,1,0.08,1200,64,MEDIUM
208,US,MX,10000,False,False,2,0,3,0.4,2,0.0,90,49,MEDIUM
209,US,MX,10000,False,False,2,0,3,0.4,2,0.0,400,39,LOW
210,US,MX,10000,False,False,2,0,3,0.4,2,0.0,1200,39,LOW
211,US,MX,10000,False,False,2,0,3,0.4,2,0.02,90,49,MEDIUM
212,US,MX,10000,False,False,2,0,3,0.4,2,0.02,400,49,MEDIUM
213,US,MX,10000,False,False,2,0,3,0.4,2,0.02,1200,49,MEDIUM
214,US,MX,10000,False,False,2,0,3,0.4,2,0.08,90,69,MEDIUM
215,US,MX,10000,False,False,2,0,3,0.4,2,0.08,400,69,MEDIUM
216,US,MX,10000,False,False,2,0,3,0.4,2,0.08,1200,69,MEDIUM
217,US,US,10000,False,False,2,0,3,0.8,0,0.0,90,63,MEDIUM
218,US,US,10000,False,False,2,0,3,0.8,0,0.0,400,53,MEDIUM
