timestamp,symbol,price,rsi_value,ob_imbalance,vol_imbalance,africa_factor,sc_factor
2025-09-20 10:00:00,DOGE/USD,0.145,38.67,0.06,0.04,0.69,0.55
2025-09-20 10:01:00,DOGE/USD,0.147,40.12,0.07,0.05,0.70,0.56
2025-09-20 10:02:00,DOGE/USD,0.144,37.45,0.05,0.03,0.68,0.54
2025-09-20 10:03:00,DOGE/USD,0.149,41.23,0.08,0.06,0.71,0.57
2025-09-20 10:04:00,DOGE/USD,0.146,39.67,0.06,0.04,0.69,0.55
2025-09-20 10:05:00,DOGE/USD,0.151,42.45,0.09,0.07,0.72,0.58
2025-09-20 10:06:00,DOGE/USD,0.148,40.89,0.07,0.05,0.70,0.56
2025-09-20 10:07:00,DOGE/USD,0.153,43.12,0.10,0.08,0.73,0.59
2025-09-20 10:08:00,DOGE/USD,0.155,44.67,0.11,0.09,0.74,0.60
2025-09-20 10:09:00,DOGE/USD,0.152,43.34,0.09,0.07,0.72,0.58
2025-09-20 10:10:00,DOGE/USD,0.157,45.23,0.12,0.10,0.75,0.61
2025-09-20 10:11:00,DOGE/USD,0.154,44.67,0.11,0.09,0.73,0.59
2025-09-20 10:12:00,DOGE/USD,0.159,46.12,0.13,0.11,0.76,0.62
2025-09-20 10:13:00,DOGE/USD,0.156,45.67,0.12,0.10,0.74,0.60
2025-09-20 10:14:00,DOGE/USD,0.161,47.45,0.14,0.12,0.77,0.63
2025-09-20 10:15:00,DOGE/USD,0.158,46.89,0.13,0.11,0.75,0.61
2025-09-20 10:16:00,DOGE/USD,0.163,48.23,0.15,0.13,0.78,0.64
2025-09-20 10:17:00,DOGE/USD,0.160,47.67,0.14,0.12,0.76,0.62
2025-09-20 10:18:00,DOGE/USD,0.165,49.12,0.16,0.14,0.79,0.65
2025-09-20 10:19:00,DOGE/USD,0.167,50.45,0.17,0.15,0.80,0.66
2025-09-20 10:20:00,DOGE/USD,0.164,49.89,0.16,0.14,0.78,0.64
2025-09-20 10:21:00,DOGE/USD,0.169,51.23,0.18,0.16,0.81,0.67
2025-09-20 10:22:00,DOGE/USD,0.166,50.67,0.17,0.15,0.79,0.65
2025-09-20 10:23:00,DOGE/USD,0.171,52.12,0.19,0.17,0.82,0.68
2025-09-20 10:24:00,DOGE/USD,0.168,51.67,0.18,0.16,0.80,0.66
2025-09-20 10:25:00,DOGE/USD,0.173,53.45,0.20,0.18,0.83,0.69
2025-09-20 10:26:00,DOGE/USD,0.170,52.89,0.19,0.17,0.81,0.67
2025-09-20 10:27:00,DOGE/USD,0.175,54.23,0.21,0.19,0.84,0.70
2025-09-20 10:28:00,DOGE/USD,0.172,53.67,0.20,0.18,0.82,0.68
2025-09-20 10:29:00,DOGE/USD,0.177,55.12,0.22,0.20,0.85,0.71
2025-09-20 10:30:00,DOGE/USD,0.179,56.45,0.23,0.21,0.86,0.72
2025-09-20 10:31:00,DOGE/USD,0.176,55.89,0.22,0.20,0.84,0.70
2025-09-20 10:32:00,DOGE/USD,0.181,57.23,0.24,0.22,0.87,0.73
2025-09-20 10:33:00,DOGE/USD,0.178,56.67,0.23,0.21,0.85,0.71
2025-09-20 10:34:00,DOGE/USD,0.183,58.12,0.25,0.23,0.88,0.74
2025-09-20 10:35:00,DOGE/USD,0.180,57.67,0.24,0.22,0.86,0.72
2025-09-20 10:36:00,DOGE/USD,0.185,59.45,0.26,0.24,0.89,0.75
2025-09-20 10:37:00,DOGE/USD,0.182,58.89,0.25,0.23,0.87,0.73
2025-09-20 10:38:00,DOGE/USD,0.187,60.23,0.27,0.25,0.90,0.76
2025-09-20 10:39:00,DOGE/USD,0.184,59.67,0.26,0.24,0.88,0.74
2025-09-20 10:40:00,DOGE/USD,0.189,61.12,0.28,0.26,0.91,0.77
