ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-17 17:42:58 UTC,coinbase,BTC/USD,116212.02,69.1219,HOLD,5m
2025-09-17 17:42:59 UTC,coinbase,ETH/USD,4528.51,73.3160,SELL,5m
2025-09-17 17:43:59 UTC,coinbase,BTC/USD,116140.77,69.5338,HOLD,5m
2025-09-17 17:43:59 UTC,coinbase,ETH/USD,4520.2,72.2920,SELL,5m
2025-09-17 17:45:09 UTC,kraken,SOL/USD,235.5,64.1179,HOLD,5m
2025-09-17 17:45:11 UTC,kraken,DOGE/USD,0.2693863,72.3614,SELL,5m
2025-09-17 17:45:13 UTC,kraken,SHIB/USD,1.308e-05,69.8094,HOLD,5m
2025-09-17 17:45:15 UTC,kraken,AVAX/USD,30.17,80.8333,SELL,5m
2025-09-17 17:45:18 UTC,kraken,ATOM/USD,4.5042,67.7492,HOLD,5m
2025-09-17 17:46:19 UTC,kraken,SOL/USD,235.05,58.8318,HOLD,5m
2025-09-17 17:46:21 UTC,kraken,DOGE/USD,0.2683746,62.6426,HOLD,5m
2025-09-17 17:46:23 UTC,kraken,SHIB/USD,1.308e-05,69.8094,HOLD,5m
2025-09-17 17:46:25 UTC,kraken,AVAX/USD,30.04,72.5386,SELL,5m
2025-09-17 17:46:28 UTC,kraken,ATOM/USD,4.501,64.3795,HOLD,5m
2025-09-17 17:47:29 UTC,kraken,SOL/USD,235.53,64.3316,HOLD,5m
2025-09-17 17:47:31 UTC,kraken,DOGE/USD,0.2694177,72.4871,SELL,5m
2025-09-17 17:47:33 UTC,kraken,SHIB/USD,1.305e-05,61.3413,HOLD,5m
2025-09-17 17:47:35 UTC,kraken,AVAX/USD,30.04,72.5386,SELL,5m
2025-09-17 17:47:38 UTC,kraken,ATOM/USD,4.5017,65.0876,HOLD,5m
