ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-17 17:42:58 UTC,kraken,XBT/USD,116212.02,69.1219,HOLD,5m
2025-09-17 17:42:59 UTC,kraken,ETH/USD,4528.51,73.3160,SELL,5m
2025-09-17 17:43:59 UTC,kraken,XBT/USD,116140.77,69.5338,HOLD,5m
2025-09-17 17:43:59 UTC,kraken,ETH/USD,4520.2,72.2920,SELL,5m
2025-09-17 17:45:09 UTC,kraken,SOL/USD,235.5,64.1179,HOLD,5m
2025-09-17 17:45:11 UTC,kraken,DOGE/USD,0.2693863,72.3614,SELL,5m
2025-09-17 17:45:13 UTC,kraken,SHIB/USD,1.308e-05,69.8094,HOLD,5m
2025-09-17 17:45:15 UTC,kraken,AVAX/USD,30.17,80.8333,SELL,5m
2025-09-17 17:45:18 UTC,kraken,ATOM/USD,4.5042,67.7492,HOLD,5m
2025-09-17 17:46:19 UTC,kraken,SOL/USD,235.05,58.8318,HOLD,5m
2025-09-17 17:46:21 UTC,kraken,DOGE/USD,0.2683746,62.6426,HOLD,5m
2025-09-17 17:46:23 UTC,kraken,SHIB/USD,1.308e-05,69.8094,HOLD,5m
2025-09-17 17:46:25 UTC,kraken,AVAX/USD,30.04,72.5386,SELL,5m
2025-09-17 17:46:28 UTC,kraken,ATOM/USD,4.501,64.3795,HOLD,5m
2025-09-17 17:47:29 UTC,kraken,SOL/USD,235.53,64.3316,HOLD,5m
2025-09-17 17:47:31 UTC,kraken,DOGE/USD,0.2694177,72.4871,SELL,5m
2025-09-17 17:47:33 UTC,kraken,SHIB/USD,1.305e-05,61.3413,HOLD,5m
2025-09-17 17:47:35 UTC,kraken,AVAX/USD,30.04,72.5386,SELL,5m
2025-09-17 17:47:38 UTC,kraken,ATOM/USD,4.5017,65.0876,HOLD,5m
2025-09-19 22:03:05 UTC,kraken,BTC/USD,115510.2,55.4451,HOLD,5m
2025-09-19 22:03:07 UTC,kraken,ETH/USD,4473.14,60.3904,HOLD,5m
2025-09-20 01:19:52 UTC,kraken,BTC/USD,115700.0,67.4166,HOLD,5m
2025-09-20 01:19:54 UTC,kraken,ETH/USD,4473.4,53.5784,HOLD,5m
2025-09-20 01:51:58 UTC,kraken,BTC/USD,115745.1,75.9327,SELL,5m
2025-09-20 01:52:00 UTC,kraken,ETH/USD,4473.04,52.7849,HOLD,5m
2025-09-20 11:17:23 UTC,kraken,BTC/USD,115868.9,63.4025,HOLD,5m
2025-09-20 11:17:25 UTC,kraken,ETH/USD,4471.92,51.9849,HOLD,5m
2025-09-20 11:18:15 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:18:17 UTC,kraken,ETH/USD,4471.93,52.0019,HOLD,5m
2025-09-20 11:18:26 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:18:29 UTC,kraken,ETH/USD,4471.92,51.9849,HOLD,5m
2025-09-20 11:19:30 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:19:31 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:19:32 UTC,kraken,ETH/USD,4471.01,50.3566,HOLD,5m
2025-09-20 11:19:33 UTC,kraken,ETH/USD,4471.01,50.3566,HOLD,5m
2025-09-20 11:20:33 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:20:35 UTC,kraken,ETH/USD,4468.31,45.7752,HOLD,5m
2025-09-20 11:21:05 UTC,kraken,BTC/USD,115869.0,63.4166,HOLD,5m
2025-09-20 11:21:07 UTC,kraken,ETH/USD,4468.31,45.7752,HOLD,5m
