timestamp,symbol,price,rsi_value,ob_imbalance,vol_imbalance,africa_factor,sc_factor
2025-09-20 10:00:00,AVAX/USD,32.45,42.12,0.08,0.05,0.72,0.58
2025-09-20 10:01:00,AVAX/USD,32.67,43.45,0.09,0.06,0.73,0.59
2025-09-20 10:02:00,AVAX/USD,32.34,41.67,0.07,0.04,0.71,0.57
2025-09-20 10:03:00,AVAX/USD,32.89,44.23,0.10,0.07,0.74,0.60
2025-09-20 10:04:00,AVAX/USD,32.56,42.89,0.08,0.05,0.72,0.58
2025-09-20 10:05:00,AVAX/USD,33.12,45.67,0.11,0.08,0.75,0.61
2025-09-20 10:06:00,AVAX/USD,32.89,44.34,0.09,0.06,0.73,0.59
2025-09-20 10:07:00,AVAX/USD,33.34,46.12,0.12,0.09,0.76,0.62
2025-09-20 10:08:00,AVAX/USD,33.67,47.45,0.13,0.10,0.77,0.63
2025-09-20 10:09:00,AVAX/USD,33.45,46.78,0.11,0.08,0.75,0.61
2025-09-20 10:10:00,AVAX/USD,34.12,48.23,0.14,0.11,0.78,0.64
2025-09-20 10:11:00,AVAX/USD,33.89,47.67,0.13,0.10,0.76,0.62
2025-09-20 10:12:00,AVAX/USD,34.45,49.12,0.15,0.12,0.79,0.65
2025-09-20 10:13:00,AVAX/USD,34.23,48.67,0.14,0.11,0.77,0.63
2025-09-20 10:14:00,AVAX/USD,34.78,50.45,0.16,0.13,0.80,0.66
2025-09-20 10:15:00,AVAX/USD,34.56,49.89,0.15,0.12,0.78,0.64
2025-09-20 10:16:00,AVAX/USD,35.12,51.23,0.17,0.14,0.81,0.67
2025-09-20 10:17:00,AVAX/USD,34.89,50.67,0.16,0.13,0.79,0.65
2025-09-20 10:18:00,AVAX/USD,35.34,52.12,0.18,0.15,0.82,0.68
2025-09-20 10:19:00,AVAX/USD,35.67,53.45,0.19,0.16,0.83,0.69
2025-09-20 10:20:00,AVAX/USD,35.45,52.89,0.18,0.15,0.81,0.67
2025-09-20 10:21:00,AVAX/USD,36.12,54.23,0.20,0.17,0.84,0.70
2025-09-20 10:22:00,AVAX/USD,35.89,53.67,0.19,0.16,0.82,0.68
2025-09-20 10:23:00,AVAX/USD,36.45,55.12,0.21,0.18,0.85,0.71
2025-09-20 10:24:00,AVAX/USD,36.23,54.67,0.20,0.17,0.83,0.69
2025-09-20 10:25:00,AVAX/USD,36.78,56.45,0.22,0.19,0.86,0.72
2025-09-20 10:26:00,AVAX/USD,36.56,55.89,0.21,0.18,0.84,0.70
2025-09-20 10:27:00,AVAX/USD,37.12,57.23,0.23,0.20,0.87,0.73
2025-09-20 10:28:00,AVAX/USD,36.89,56.67,0.22,0.19,0.85,0.71
2025-09-20 10:29:00,AVAX/USD,37.34,58.12,0.24,0.21,0.88,0.74
2025-09-20 10:30:00,AVAX/USD,37.67,59.45,0.25,0.22,0.89,0.75
2025-09-20 10:31:00,AVAX/USD,37.45,58.89,0.24,0.21,0.87,0.73
2025-09-20 10:32:00,AVAX/USD,38.12,60.23,0.26,0.23,0.90,0.76
2025-09-20 10:33:00,AVAX/USD,37.89,59.67,0.25,0.22,0.88,0.74
2025-09-20 10:34:00,AVAX/USD,38.45,61.12,0.27,0.24,0.91,0.77
2025-09-20 10:35:00,AVAX/USD,38.23,60.67,0.26,0.23,0.89,0.75
2025-09-20 10:36:00,AVAX/USD,38.78,62.45,0.28,0.25,0.92,0.78
2025-09-20 10:37:00,AVAX/USD,38.56,61.89,0.27,0.24,0.90,0.76
2025-09-20 10:38:00,AVAX/USD,39.12,63.23,0.29,0.26,0.93,0.79
2025-09-20 10:39:00,AVAX/USD,38.89,62.67,0.28,0.25,0.91,0.77
2025-09-20 10:40:00,AVAX/USD,39.34,64.12,0.30,0.27,0.94,0.80
