timestamp,symbol,price,rsi_value,ob_imbalance,vol_imbalance,africa_factor,sc_factor
2025-09-20 10:00:00,NEAR/USD,4.23,41.45,0.07,0.04,0.71,0.57
2025-09-20 10:01:00,NEAR/USD,4.25,42.67,0.08,0.05,0.72,0.58
2025-09-20 10:02:00,NEAR/USD,4.21,40.23,0.06,0.03,0.70,0.56
2025-09-20 10:03:00,NEAR/USD,4.28,43.12,0.09,0.06,0.73,0.59
2025-09-20 10:04:00,NEAR/USD,4.24,41.89,0.07,0.04,0.71,0.57
2025-09-20 10:05:00,NEAR/USD,4.31,44.45,0.10,0.07,0.74,0.60
2025-09-20 10:06:00,NEAR/USD,4.27,42.67,0.08,0.05,0.72,0.58
2025-09-20 10:07:00,NEAR/USD,4.34,45.23,0.11,0.08,0.75,0.61
2025-09-20 10:08:00,NEAR/USD,4.37,46.67,0.12,0.09,0.76,0.62
2025-09-20 10:09:00,NEAR/USD,4.33,45.34,0.10,0.07,0.74,0.60
2025-09-20 10:10:00,NEAR/USD,4.40,47.12,0.13,0.10,0.77,0.63
2025-09-20 10:11:00,NEAR/USD,4.36,46.67,0.12,0.09,0.75,0.61
2025-09-20 10:12:00,NEAR/USD,4.43,48.45,0.14,0.11,0.78,0.64
2025-09-20 10:13:00,NEAR/USD,4.39,47.89,0.13,0.10,0.76,0.62
2025-09-20 10:14:00,NEAR/USD,4.46,49.23,0.15,0.12,0.79,0.65
2025-09-20 10:15:00,NEAR/USD,4.42,48.67,0.14,0.11,0.77,0.63
2025-09-20 10:16:00,NEAR/USD,4.49,50.12,0.16,0.13,0.80,0.66
2025-09-20 10:17:00,NEAR/USD,4.45,49.67,0.15,0.12,0.78,0.64
2025-09-20 10:18:00,NEAR/USD,4.52,51.45,0.17,0.14,0.81,0.67
2025-09-20 10:19:00,NEAR/USD,4.55,52.89,0.18,0.15,0.82,0.68
2025-09-20 10:20:00,NEAR/USD,4.51,52.34,0.17,0.14,0.80,0.66
2025-09-20 10:21:00,NEAR/USD,4.58,53.67,0.19,0.16,0.83,0.69
2025-09-20 10:22:00,NEAR/USD,4.54,53.12,0.18,0.15,0.81,0.67
2025-09-20 10:23:00,NEAR/USD,4.61,54.45,0.20,0.17,0.84,0.70
2025-09-20 10:24:00,NEAR/USD,4.57,53.89,0.19,0.16,0.82,0.68
2025-09-20 10:25:00,NEAR/USD,4.64,55.23,0.21,0.18,0.85,0.71
2025-09-20 10:26:00,NEAR/USD,4.60,54.67,0.20,0.17,0.83,0.69
2025-09-20 10:27:00,NEAR/USD,4.67,56.12,0.22,0.19,0.86,0.72
2025-09-20 10:28:00,NEAR/USD,4.63,55.67,0.21,0.18,0.84,0.70
2025-09-20 10:29:00,NEAR/USD,4.70,57.45,0.23,0.20,0.87,0.73
2025-09-20 10:30:00,NEAR/USD,4.73,58.89,0.24,0.21,0.88,0.74
2025-09-20 10:31:00,NEAR/USD,4.69,58.34,0.23,0.20,0.86,0.72
2025-09-20 10:32:00,NEAR/USD,4.76,59.67,0.25,0.22,0.89,0.75
2025-09-20 10:33:00,NEAR/USD,4.72,59.12,0.24,0.21,0.87,0.73
2025-09-20 10:34:00,NEAR/USD,4.79,60.45,0.26,0.23,0.90,0.76
2025-09-20 10:35:00,NEAR/USD,4.75,59.89,0.25,0.22,0.88,0.74
2025-09-20 10:36:00,NEAR/USD,4.82,61.23,0.27,0.24,0.91,0.77
2025-09-20 10:37:00,NEAR/USD,4.78,60.67,0.26,0.23,0.89,0.75
2025-09-20 10:38:00,NEAR/USD,4.85,62.12,0.28,0.25,0.92,0.78
2025-09-20 10:39:00,NEAR/USD,4.81,61.67,0.27,0.24,0.90,0.76
2025-09-20 10:40:00,NEAR/USD,4.88,63.45,0.29,0.26,0.93,0.79
